モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,Ni_5Kpm_7.7mg_20241108,,,,,,,,
測定日時,2024/11/08 14:48:32,,,,,,,,
サンプル名,Ni,,,,,,,,
サンプル質量,7.7,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,317,377,5,3,0.2,On,Off,On
,2,377,317,5,3,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
Ni_5Kpm_7.7mg_20241108  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,0.406088363,,,,,,,,
2,-0.388923578,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.666666667,314.913147,-481.2619629,391.8881836,,,,,,
0.67,314.9272461,-482.5848389,387.6855469,,,,,,
0.673333333,314.9413452,-483.8486328,383.7553711,,,,,,
0.676666667,314.9554749,-485.079834,380.8491211,,,,,,
0.68,314.969635,-486.3249512,378.3779297,,,,,,
0.683333333,314.9838562,-487.5750732,376.1865234,,,,,,
0.686666667,314.9980774,-488.8214111,374.6220703,,,,,,
0.69,315.0123596,-490.0853271,372.9492188,,,,,,
0.693333333,315.0266724,-491.3422852,370.1308594,,,,,,
0.696666667,315.0409851,-492.5983887,366.0410156,,,,,,
0.7,315.0552979,-493.8491211,362.1123047,,,,,,
0.703333333,315.0696411,-495.0783691,358.6054688,,,,,,
0.706666667,315.0840454,-496.2830811,354.8540039,,,,,,
0.71,315.0984802,-497.473999,350.9589844,,,,,,
0.713333333,315.112915,-498.6602783,347.5180664,,,,,,
0.716666667,315.1273804,-499.8371582,344.6953125,,,,,,
0.72,315.1418762,-500.9940186,341.784668,,,,,,
0.723333333,315.1564026,-502.1230469,338.4770508,,,,,,
0.726666667,315.1709595,-503.2319336,335.1738281,,,,,,
0.73,315.1855164,-504.342041,331.4311523,,,,,,
0.733333333,315.2000732,-505.4400635,327.7119141,,,,,,
0.736666667,315.2146606,-506.5068359,324.065918,,,,,,
0.74,315.2292786,-507.5545654,320.4038086,,,,,,
0.743333333,315.243927,-508.6011963,316.9013672,,,,,,
0.746666667,315.2585449,-509.6427002,313.6450195,,,,,,
0.75,315.2732239,-510.6697998,310.3564453,,,,,,
0.753333333,315.2879028,-511.680542,306.9038086,,,,,,
0.756666667,315.3026123,-512.6868896,303.2915039,,,,,,
