モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,BTO_5Kpm_9mg_20241115_2,,,,,,,,
測定日時,2024/11/15 15:21:14,,,,,,,,
サンプル名,BTO,,,,,,,,
サンプル質量,9,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,107,147,5,3,0.2,On,Off,On
,2,147,107,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
BTO_5Kpm_9mg_20241115_2  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-0.970383861,,,,,,,,
2,0.840006949,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.916666667,106.0092697,-455.9731445,246.2138672,,,,,,
0.92,106.0242157,-456.793457,243.7258301,,,,,,
0.923333333,106.0391846,-457.6082153,241.2817383,,,,,,
0.926666667,106.0541534,-458.4156494,239.1159668,,,,,,
0.93,106.0691528,-459.2161865,237.0058594,,,,,,
0.933333333,106.0841827,-460.005127,234.8898926,,,,,,
0.936666667,106.0992432,-460.7791748,232.6948242,,,,,,
0.94,106.1143341,-461.5419312,230.3635254,,,,,,
0.943333333,106.1293869,-462.2985229,228.2124023,,,,,,
0.946666667,106.1445389,-463.0454102,226.232666,,,,,,
0.95,106.1596603,-463.788269,224.1730957,,,,,,
0.953333333,106.1748047,-464.5215454,221.8300781,,,,,,
0.956666667,106.1899872,-465.2536011,219.5214844,,,,,,
0.96,106.2051697,-465.9811401,217.3359375,,,,,,
0.963333333,106.2203751,-466.6992798,215.1621094,,,,,,
0.966666667,106.2355881,-467.4147339,213.0124512,,,,,,
0.97,106.2507935,-468.1287842,210.8173828,,,,,,
0.973333333,106.2660599,-468.8345947,208.4963379,,,,,,
0.976666667,106.2813339,-469.5222168,206.1225586,,,,,,
0.98,106.2966003,-470.1928711,203.7575684,,,,,,
0.983333333,106.3118973,-470.8671265,201.4570313,,,,,,
0.986666667,106.3272018,-471.5515747,199.2678223,,,,,,
0.99,106.3424988,-472.2304077,197.1115723,,,,,,
0.993333333,106.3578262,-472.8880005,195.013916,,,,,,
0.996666667,106.3731842,-473.5327759,192.7888184,,,,,,
1,106.3885727,-474.1751709,190.4318848,,,,,,
1.003333333,106.4039612,-474.8139038,188.2265625,,,,,,
1.006666667,106.4193497,-475.4487305,185.9875488,,,,,,
1.01,106.4347382,-476.076355,183.7331543,,,,,,
1.013333333,106.4501877,-476.6886597,181.5981445,,,,,,
1.016666667,106.4656067,-477.2810669,179.5048828,,,,,,
1.02,106.4810562,-477.8570557,177.65625,,,,,,
1.023333333,106.4965668,-478.4248047,175.9672852,,,,,,
1.026666667,106.5120468,-478.9944458,174.1838379,,,,,,
1.03,106.5275497,-479.5610352,172.3996582,,,,,,
1.033333333,106.5430908,-480.1263428,170.7678223,,,,,,
1.036666667,106.5586624,-480.6828613,169.1557617,,,,,,
1.04,106.5742264,-481.2203369,167.296875,,,,,,
1.043333333,106.5898285,-481.7572632,165.3222656,,,,,,
1.046666667,106.605423,-482.2929688,163.2897949,,,,,,
1.05,106.6210251,-482.8182373,161.2155762,,,,,,
1.053333333,106.6366806,-483.3505859,159.2497559,,,,,,
1.056666667,106.6523132,-483.8792114,157.5014648,,,,,,
1.06,106.6679382,-484.4007568,155.9143066,,,,,,
1.063333333,106.6835709,-484.9273682,154.3974609,,,,,,
1.066666667,106.6992569,-485.4577026,152.8945313,,,,,,
1.07,106.7149429,-485.9917603,151.4260254,,,,,,
1.073333333,106.730629,-486.5270996,150.0380859,,,,,,
1.076666667,106.7463531,-487.0534058,148.6948242,,,,,,
1.08,106.7620392,-487.5539551,147.5112305,,,,,,
1.083333333,106.7777557,-488.034729,146.3811035,,,,,,
1.086666667,106.7934723,-488.506958,145.1887207,,,,,,
1.09,106.8091965,-488.9695435,144.0454102,,,,,,
1.093333333,106.8249435,-489.427124,142.7080078,,,,,,
1.096666667,106.8407211,-489.8843994,141.1281738,,,,,,
1.1,106.8564682,-490.3388672,139.6376953,,,,,,
1.103333333,106.8722458,-490.786438,138.1677246,,,,,,
1.106666667,106.8880539,-491.2286377,136.6311035,,,,,,
1.11,106.9038315,-491.673645,135.0043945,,,,,,
1.113333333,106.9196091,-492.1217041,133.1674805,,,,,,
1.116666667,106.9354172,-492.5724487,131.2265625,,,,,,
1.12,106.9512253,-493.0231323,129.5881348,,,,,,
1.123333333,106.9670639,-493.4663696,128.2792969,,,,,,
1.126666667,106.9828415,-493.906189,127.1228027,,,,,,
1.13,106.9986801,-494.3440552,126.0336914,,,,,,
1.133333333,107.0145187,-494.7702637,124.9233398,,,,,,
1.136666667,107.0303574,-495.1774292,123.7998047,,,,,,
1.14,107.046196,-495.576355,122.6901855,,,,,,
1.143333333,107.0620575,-495.9768677,121.7138672,,,,,,
1.146666667,107.0779266,-496.3777466,120.815918,,,,,,
1.15,107.0937958,-496.7775269,119.9619141,,,,,,
1.153333333,107.1096954,-497.1679688,118.949707,,,,,,
1.156666667,107.1255951,-497.5424805,117.6320801,,,,,,
1.16,107.1414871,-497.9161377,116.1987305,,,,,,
1.163333333,107.1573868,-498.2963867,114.8327637,,,,,,
1.166666667,107.173317,-498.6750488,113.6542969,,,,,,
1.17,107.1892166,-499.0553589,112.364502,,,,,,
1.173333333,107.2051392,-499.4260254,111.0219727,,,,,,
