モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,TGS_5Kpm_9.2mg_20241115,,,,,,,,
測定日時,2024/11/15 14:19:48,,,,,,,,
サンプル名,TGS,,,,,,,,
サンプル質量,9.2,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,-13,72,5,3,0.2,On,Off,On
,2,72,-13,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
TGS_5Kpm_9.2mg_20241115  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-1.266645444,,,,,,,,
2,1.004942504,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.923333333,-12.9767437,-789.0744629,500.5136719,,,,,,
0.926666667,-12.9586134,-790.7271729,494.5803223,,,,,,
0.93,-12.94046688,-792.354248,488.536377,,,,,,
0.933333333,-12.92230511,-793.9611816,481.9555664,,,,,,
0.936666667,-12.90412712,-795.5379639,474.6621094,,,,,,
0.94,-12.88590145,-797.1057129,467.564209,,,,,,
0.943333333,-12.86765957,-798.6783447,460.9475098,,,,,,
0.946666667,-12.84938622,-800.230896,454.401123,,,,,,
0.95,-12.83109665,-801.7454224,447.534668,,,,,,
0.953333333,-12.81277466,-803.2330322,440.5913086,,,,,,
0.956666667,-12.79443741,-804.6945801,433.7087402,,,,,,
0.96,-12.77610016,-806.1448975,426.9807129,,,,,,
0.963333333,-12.75773048,-807.5934448,420.7624512,,,,,,
0.966666667,-12.73936176,-809.0239868,414.8569336,,,,,,
0.97,-12.72099209,-810.4239502,409.0341797,,,,,,
0.973333333,-12.70259094,-811.8059692,403.4941406,,,,,,
0.976666667,-12.68417454,-813.0943604,397.7365723,,,,,,
0.98,-12.66574097,-814.3477783,391.8039551,,,,,,
